company,title,location,job_url,site,source,age_posted,age_days,requires_sponsorship,requires_citizenship,is_closed,is_faang,requires_advanced_degree,job_type,description,date_posted,collected_at
Citizen Health,Early Career Software Engineer,"SFSan Mateo, CA",https://jobs.ashbyhq.com/Citizen%20Health/6157ab51-0fc9-4ad8-90ea-8e87e2a95eef/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,0d,0.0,True,False,False,False,False,fulltime,New graduate position at Citizen Health. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005468
Businessolver,Java Software Engineer I - Remote within the USA,Remote in USA,https://www.businessolver.com/careers/openings/?gh_jid=7358032&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,0d,0.0,True,False,False,False,False,fulltime,New graduate position at Businessolver. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005507
Okta,Software Engineer I – New Grad,"Toronto, ON, Canada",https://www.okta.com/company/careers/opportunity/6209884?gh_jid=6209884&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,0d,0.0,True,False,False,False,False,fulltime,New graduate position at Okta. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005532
Intuit,Software Engineer 1,"Mountain View, CA",https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/88102807904?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at Intuit. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005554
Truist Bank,Software Engineer 1 - Finance Technology Data & Reporting,"Charlotte, NCGreensboro, NC",https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Greensboro-NC/Software-Engineer-I---Finance-Technology-Data---Reporting_R0108028-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at Truist Bank. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005577
RTX,Software Engineer 1 - Software Engineering,"McKinney, TX",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/TX190-2501-West-University-McKinney-2501-West-University---McKinney-TX-75070-USA/XMLNAME-2026-Full-time---Software-Engineer-I---Onsite--TX-_01804717?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at RTX. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005599
🔥 Visa,Graduate Software Engineer,"Reading, United Kingdom",https://jobs.smartrecruiters.com/Visa/615efbc7-5ef9-4dc3-b65a-cf364e55674e?dcr_ci=Visa&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Visa. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005634
Warp,Software Engineer,Remote in USARemote in Canada,https://job-boards.greenhouse.io/warp/jobs/4324888004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at Warp. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005654
General Dynamics Mission Systems,Software Engineer – Entry Level,"Scottsdale, AZ",https://careers-gdms.icims.com/jobs/68913/software-engineer-%E2%80%93-entry-level/job?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,True,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005675
Genuine Parts Company,Cloud Engineer I,"Birmingham, AL",https://genpt.wd1.myworkdayjobs.com/en-US/careers/job/Birmingham-AL-USA/Cloud-Engineer-I_R25_0000038435?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1d,1.0,True,False,False,False,False,fulltime,New graduate position at Genuine Parts Company. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005693
